,0,1,2,3,4,5,6,7,8,9
57,5.8338337,12.181287,1.2714514,-0.9445468,-0.55343026,4.172851,-9.831093,-3.200544,0.8322775,-8.213423
58,16.4595,4.9575834,17.186985,5.5944905,-0.6888701,-33.518364,-19.34086,-6.5278883,10.408953,-11.792473
59,13.080927,12.548216,7.6647077,2.9047012,2.225464,-17.35564,-13.586548,-4.5683675,3.0237288,-6.8964624
60,14.90756,4.0149813,11.045097,1.733956,-3.888434,-22.835083,14.759666,-11.672902,-2.9207997,-16.339943
61,5.3371434,9.539426,7.1282277,1.6440388,2.954188,1.5812047,-10.142739,-12.431334,-1.3698194,-7.5126595
62,7.5635056,7.862035,1.8633438,-0.6931441,2.490464,-23.245558,-10.017877,11.290838,-3.4634364,3.2845116
63,12.138857,3.486888,7.7022324,-1.5524685,0.4179898,-27.411694,7.3511944,7.0943294,3.9937441,-7.1369896
64,14.579273,5.25343,8.551841,11.620453,5.3770266,-18.718893,-15.919778,-17.788982,-5.1464667,-8.432406
65,8.63222,4.2683015,7.3476086,11.560839,11.690769,-25.64178,-17.658611,-6.7851715,2.3416884,-4.446518
66,-5.4631763,13.732188,-1.4811779,-7.028153,3.4948545,36.814754,-2.2926955,-8.654425,-18.56953,-0.8616388
67,7.8752184,8.449319,2.4745204,-1.9279169,-1.3093872,-12.180366,-10.911396,-1.8882226,-10.608287,13.349097
68,4.4796557,11.166591,6.0357695,-1.964254,6.187268,7.470348,-11.440141,-7.1974483,-2.4697337,-4.444703
69,-4.631385,19.382654,5.1627293,-2.563724,10.452919,-8.0053625,-3.7867186,-10.465291,-10.481069,-1.3332961
70,5.298139,16.480165,14.236236,1.7940059,-1.6448042,-11.243089,-6.1968975,-7.3977637,-1.7780031,-10.211554
71,-3.5664036,14.580764,13.295282,8.549903,7.937377,-17.315258,-11.534963,-7.291639,-9.607642,-6.4012604
72,15.224547,-4.23908,8.706678,12.135125,5.488118,-25.749355,-6.9871593,-6.4148,5.419097,-10.854354
73,6.31227,4.5481243,9.722975,10.013125,3.3489044,-26.537369,-18.934776,-6.4134984,9.352163,-4.456857
74,1.395528,8.983099,20.001423,12.840037,8.051474,-35.826504,-8.708802,0.22612074,-0.4638492,-8.268588
75,-5.8672123,14.672881,4.8156424,-0.3241071,8.764102,-16.462093,21.497078,7.2913036,-10.642153,-9.621179
76,-0.4373981,-0.19918856,4.7992096,12.893017,16.56707,-26.404991,-22.789791,-4.434202,9.219507,-1.9635328
77,-9.998234,13.380529,2.3412848,2.7457633,16.702986,-6.354827,-4.077619,0.73808545,-6.030668,-7.7719917
78,5.518557,4.5747313,3.5729647,-3.4147985,-2.0764315,-2.0891318,1.2599664,-12.897648,-0.52558196,2.7983766
79,-4.7992454,8.179108,4.6263885,2.1721609,7.772655,-16.922108,-11.953248,12.114212,-2.5734413,10.075129
80,11.083394,9.4220915,7.997269,13.898587,-4.8857694,-27.202757,-21.437332,-2.224542,8.938787,0.6411244
81,10.223193,13.226961,7.5263557,-5.77757,-1.4710816,-22.188557,-16.341637,-12.697856,-5.7355523,18.208067
82,9.042934,12.930359,10.033989,7.2016373,6.050833,-24.150478,-18.906824,-5.5069146,4.240289,-5.1825256
83,-5.724935,18.768377,0.6396849,-6.358628,12.145513,10.183965,-6.132955,-7.431669,-13.022835,-1.6189425
84,6.4326267,10.301302,5.4102445,-0.19540942,4.509948,-20.389078,13.105651,-14.188097,-5.869102,-5.9924974
85,0.42041066,9.745743,7.4345613,8.05089,1.5808185,-3.7108617,-13.931075,1.2330028,-0.6320569,2.5728228
86,-7.19082,16.478851,9.717247,6.066747,-3.3248057,0.50111717,-8.868998,9.444687,-6.878959,2.0463989
87,9.9141655,8.406884,4.006343,4.959085,-1.2229006,-19.175137,-19.424349,2.9172587,5.1409745,-4.1447096
88,-4.8735437,7.958994,12.3896475,8.140281,1.7775389,-21.487879,-11.991724,12.54062,10.162886,1.9740987
89,8.631667,11.011033,9.20588,0.7748127,7.140441,-22.36446,-13.740122,-14.443097,-8.583275,5.0730247
90,11.775199,4.717986,2.2218525,8.34042,3.848919,-22.573456,-21.599367,0.8844484,7.348179,-4.0207696
91,16.59333,7.7609816,10.034624,-6.921834,2.4814663,1.2706792,-6.704889,-12.021233,-7.0307927,-9.418866
92,4.3122563,6.692839,8.030972,6.9047475,3.9875145,-25.222933,-14.545676,10.461678,3.9546783,-0.23076054
93,3.2218235,-1.3125027,5.244744,9.17502,14.961379,-21.423725,-8.501605,-5.4402,-1.5225008,-7.451149
94,11.127237,9.422716,9.9680805,13.893915,-1.5002247,-20.835155,-13.501272,-13.6907625,-4.261973,-6.161866
95,8.37449,10.48893,4.4218974,1.9816234,3.6028914,-15.997339,-4.186671,-0.19577658,-4.175416,-7.7708635
96,7.2452574,9.265111,5.2335625,-6.434847,6.7932606,0.8769914,-6.29554,6.875517,-15.754966,-9.08507
97,-0.5568504,8.176804,5.79292,4.039153,4.579951,-5.688433,-5.5922427,-8.160254,-5.662869,-3.955792
98,4.944682,10.641602,3.3492923,-1.8655579,5.2535367,2.2097597,-9.386699,-8.982827,-1.5802826,-4.079437
99,12.0511465,9.543496,6.700279,1.0843878,5.6285667,-17.107735,-11.509152,-14.071304,0.48418063,-6.382207
100,10.363245,12.937005,9.45857,-3.743149,-3.1680284,-19.692772,-12.686683,14.065345,-10.190646,-3.341654
101,1.3570939,3.7502208,-0.24488364,5.901919,2.7272668,-3.1059382,-18.681307,8.323628,10.872569,-8.194629
102,3.9767234,12.287663,8.887667,6.8827024,-4.1783085,-18.60177,-7.427968,-6.9039583,2.273656,0.8964101
103,13.519968,-3.000114,13.092301,7.1429963,10.134804,-28.288036,-14.091398,-10.660264,3.8564787,-12.298696
104,12.7454815,10.894135,10.45006,-0.08939831,6.5780735,-28.878971,-10.848458,-11.166732,-11.1243105,4.377682
105,6.2213125,6.519477,5.760302,0.31708264,4.94438,-6.436629,-10.902578,-6.412068,1.8695934,-2.734445
106,10.906499,6.683896,8.776714,0.8205087,2.5077968,-22.917843,12.980921,-15.33649,-5.7437706,-11.59424
107,8.563992,3.9818318,13.010275,0.032925114,0.123237655,-33.862362,-11.62298,7.5509477,0.22083306,7.1148334
